file,dimred_method,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
25_0nm_04run_250d.txt,tSNE,2,2,1,0,0,10312,3044,1527,0.0054284077805244,0.4572506537158652,2994,1226,0.0067860651006935,0.4130753386516138,0.452959288120586
25_0nm_04run_250d.txt,tSNE,2,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1445,1525,0.0231974304160283,0.3196159230994639,0.4285121165999095
25_0nm_04run_250d.txt,tSNE,2,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1445,1525,0.0231974304160283,0.3196159230994639,0.4285121165999095
25_0nm_04run_250d.txt,tSNE,2,4,2,0,0,10312,776,2483,0.0907239001920588,0.3692312636714423,923,1170,0.0784531822218037,0.2115479403335753,0.4031503423607009
25_0nm_04run_250d.txt,tSNE,2,4,3,0,0,10312,356,1925,0.3138130952964092,0.4239719184320508,701,1411,0.1010641008636709,0.1906272070703887,0.4323432821665415
25_0nm_04run_250d.txt,tSNE,2,4,4,0,0,10312,177,1455,0.4503932303657161,0.4441089013314049,437,1246,0.2490143939011316,0.0910544319934531,0.4317164393713762
25_0nm_04run_250d.txt,tSNE,2,8,4,0,0,10312,118,1433,0.4555160459437677,0.432037438993997,272,934,0.307841246286951,-0.005674607024592,0.3718858120224521
25_0nm_04run_250d.txt,tSNE,2,8,6,0,0,10312,96,1775,0.4311428736836232,0.4556126974309765,168,724,0.5107772423156411,-0.1087472357564515,0.3758497678496375
25_0nm_04run_250d.txt,tSNE,2,8,8,0,0,10312,35,819,0.4844990546488651,0.5536466311534034,81,256,0.5585441377824605,-0.3494687735331855,0.3721444718620776
25_0nm_04run_250d.txt,tSNE,2,16,8,0,0,10312,32,996,0.4788844565310853,0.4169715193146919,36,25,0.5843331031517391,-0.4630401392391531,0.3131478174321157
25_0nm_04run_250d.txt,tSNE,2,16,12,0,0,10312,22,859,0.4869446915255507,0.5446700541863153,36,53,0.5866446933119766,-0.453158718444817,0.3281266600271914
25_0nm_04run_250d.txt,tSNE,2,16,16,0,0,10312,21,934,0.4828891170174081,0.579413644065704,35,135,0.5936501015278977,-0.3985525888449154,0.3418080513322861
25_0nm_04run_250d.txt,tSNE,2,32,16,0,0,10312,23,1481,0.4635843239361733,0.5593787915384137,28,12,0.6026101160811608,-0.4448412353606084,0.3390097163631082
25_0nm_04run_250d.txt,tSNE,2,32,24,0,0,10312,18,1051,0.47160524137759,0.5778698753924414,27,46,0.6086083398851274,-0.4023360450977872,0.3747911987103234
25_0nm_04run_250d.txt,tSNE,2,32,32,0,0,10312,17,1231,0.4565324044560515,0.6084140333527789,23,48,0.6315821649053107,-0.4009918083500181,0.3815605620746637
25_0nm_04run_250d.txt,tSNE,2,64,32,0,0,10312,14,1365,0.4529894204857831,0.6026029352007799,23,48,0.6315821649053107,-0.4009918083500181,0.3815605620746637
25_0nm_04run_250d.txt,tSNE,2,64,48,0,0,10312,14,1538,0.4350217360553304,0.6400225723269447,22,97,0.6262899997013683,-0.359953890833799,0.3848497549804143
25_0nm_04run_250d.txt,tSNE,2,64,64,0,0,10312,11,1487,0.4080448442326151,0.6117401572347507,21,274,0.6076701230695757,-0.3219513024832201,0.3998498500007533
25_0nm_04run_250d.txt,tSNE,2,128,64,0,0,10312,11,1487,0.4080448442326151,0.6117401572347507,18,243,0.6025637822192943,-0.3947790085702612,0.386715983040946
25_0nm_04run_250d.txt,tSNE,2,128,96,0,0,10312,8,688,0.3795257152681084,0.662795772784346,18,952,0.5559166520678868,-0.2659480321224218,0.4169967517762821
25_0nm_04run_250d.txt,tSNE,2,128,128,0,0,10312,8,948,0.3745700174874879,0.5757177664881634,16,1585,0.4402823806333072,-0.0500276279509216,0.3634046091869015
25_0nm_04run_250d.txt,UMAP,2,2,1,0,0,10312,3044,1527,0.0054284077805244,0.4572506537158652,2982,1330,0.0067569227998168,0.1824806380822144,0.4838484559086701
25_0nm_04run_250d.txt,UMAP,2,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1455,1487,0.0180308561354426,0.1191307131930883,0.4933373909186381
25_0nm_04run_250d.txt,UMAP,2,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1455,1487,0.0180308561354426,0.1191307131930883,0.4933373909186381
25_0nm_04run_250d.txt,UMAP,2,4,2,0,0,10312,776,2483,0.0907239001920588,0.3692312636714423,1000,1211,0.0289374720822671,0.0737297807717375,0.4816887936357882
25_0nm_04run_250d.txt,UMAP,2,4,3,0,0,10312,356,1925,0.3138130952964092,0.4239719184320508,852,1496,0.0291790011871109,0.0883008764990511,0.5036270787508694
25_0nm_04run_250d.txt,UMAP,2,4,4,0,0,10312,177,1455,0.4503932303657161,0.4441089013314049,664,1494,0.0387467388779473,0.0747431424009055,0.5076046956492689
25_0nm_04run_250d.txt,UMAP,2,8,4,0,0,10312,118,1433,0.4555160459437677,0.432037438993997,461,1130,0.0675694282931548,0.0182328443697559,0.4663374693654926
25_0nm_04run_250d.txt,UMAP,2,8,6,0,0,10312,96,1775,0.4311428736836232,0.4556126974309765,421,1458,0.069651585586375,0.0556789216174058,0.5170601473998307
25_0nm_04run_250d.txt,UMAP,2,8,8,0,0,10312,35,819,0.4844990546488651,0.5536466311534034,375,1786,0.0611405674764805,0.0880502970419232,0.5199033188976162
25_0nm_04run_250d.txt,UMAP,2,16,8,0,0,10312,32,996,0.4788844565310853,0.4169715193146919,223,1082,0.1801742731614333,-0.0349915784736463,0.4905680576740827
25_0nm_04run_250d.txt,UMAP,2,16,12,0,0,10312,22,859,0.4869446915255507,0.5446700541863153,179,1228,0.2668797838579649,-0.014083434670957,0.5225138358295096
25_0nm_04run_250d.txt,UMAP,2,16,16,0,0,10312,21,934,0.4828891170174081,0.579413644065704,133,1137,0.4190579034072901,-0.0543213207913751,0.4885314345626563
25_0nm_04run_250d.txt,UMAP,2,32,16,0,0,10312,23,1481,0.4635843239361733,0.5593787915384137,56,284,0.5469892899091822,-0.2663705530638315,0.347134455465989
25_0nm_04run_250d.txt,UMAP,2,32,24,0,0,10312,18,1051,0.47160524137759,0.5778698753924414,40,105,0.4621069518732271,-0.413802035349234,0.3084521983150607
25_0nm_04run_250d.txt,UMAP,2,32,32,0,0,10312,17,1231,0.4565324044560515,0.6084140333527789,37,125,0.4249732811503,-0.3732933787532292,0.3335346797455149
25_0nm_04run_250d.txt,UMAP,2,64,32,0,0,10312,14,1365,0.4529894204857831,0.6026029352007799,27,249,0.4131585842179254,-0.4334059588176966,0.2887096325202485
25_0nm_04run_250d.txt,UMAP,2,64,48,0,0,10312,14,1538,0.4350217360553304,0.6400225723269447,30,410,0.5522571292052573,-0.2930330817428382,0.2153209036821008
25_0nm_04run_250d.txt,UMAP,2,64,64,0,0,10312,11,1487,0.4080448442326151,0.6117401572347507,23,543,0.3293481912644155,-0.2876879867271441,-0.0168463052747155
25_0nm_04run_250d.txt,UMAP,2,128,64,0,0,10312,11,1487,0.4080448442326151,0.6117401572347507,18,460,0.4163716048372608,-0.4103821645340555,0.2053458827026058
25_0nm_04run_250d.txt,UMAP,2,128,96,0,0,10312,8,688,0.3795257152681084,0.662795772784346,17,979,0.367662733825272,-0.3952285319069435,0.2936494519872879
25_0nm_04run_250d.txt,UMAP,2,128,128,0,0,10312,8,948,0.3745700174874879,0.5757177664881634,16,1713,0.3326251857492724,-0.0349262206932723,0.2199670340018303
25_0nm_04run_250d.txt,UMAP,62,2,1,0,0,10312,3044,1527,0.0054284077805244,0.4572506537158652,2818,1490,0.0065135887536434,0.2150231720351032,0.5120281173200939
25_0nm_04run_250d.txt,UMAP,62,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1453,1760,0.014240415448699,0.1766572669900157,0.5097125571303893
25_0nm_04run_250d.txt,UMAP,62,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1453,1760,0.014240415448699,0.1766572669900157,0.5097125571303893
25_0nm_04run_250d.txt,UMAP,62,4,2,0,0,10312,776,2483,0.0907239001920588,0.3692312636714423,962,1348,0.0275399918722819,0.1184979405379672,0.5114754426060382
25_0nm_04run_250d.txt,UMAP,62,4,3,0,0,10312,356,1925,0.3138130952964092,0.4239719184320508,819,1618,0.0275352593950571,0.124945251992478,0.5256397895292813
25_0nm_04run_250d.txt,UMAP,62,4,4,0,0,10312,177,1455,0.4503932303657161,0.4441089013314049,675,1670,0.0341877630038595,0.1102336059456562,0.5297993271618436
25_0nm_04run_250d.txt,UMAP,62,8,4,0,0,10312,118,1433,0.4555160459437677,0.432037438993997,447,1246,0.1122462489473958,0.065948514341258,0.5439193848081588
25_0nm_04run_250d.txt,UMAP,62,8,6,0,0,10312,96,1775,0.4311428736836232,0.4556126974309765,324,1390,0.2548239235659234,0.0834505083107583,0.6089373262364013
25_0nm_04run_250d.txt,UMAP,62,8,8,0,0,10312,35,819,0.4844990546488651,0.5536466311534034,270,1399,0.3044768385834627,0.1217310634441463,0.634727458102996
25_0nm_04run_250d.txt,UMAP,62,16,8,0,0,10312,32,996,0.4788844565310853,0.4169715193146919,163,958,0.3934009577673468,0.0123135879449129,0.65713109477124
25_0nm_04run_250d.txt,UMAP,62,16,12,0,0,10312,22,859,0.4869446915255507,0.5446700541863153,89,464,0.5073614123307499,-0.1223444964163853,0.7800187446483201
25_0nm_04run_250d.txt,UMAP,62,16,16,0,0,10312,21,934,0.4828891170174081,0.579413644065704,39,86,0.3998788588876387,-0.3625713316650312,0.8755683942639239
25_0nm_04run_250d.txt,UMAP,62,32,16,0,0,10312,23,1481,0.4635843239361733,0.5593787915384137,27,38,0.4101339522316414,-0.3139179132439835,0.900552125520954
25_0nm_04run_250d.txt,UMAP,62,32,24,0,0,10312,18,1051,0.47160524137759,0.5778698753924414,27,50,0.4099928319556357,-0.314380420307717,0.9002908325069365
25_0nm_04run_250d.txt,UMAP,62,32,32,0,0,10312,17,1231,0.4565324044560515,0.6084140333527789,27,56,0.4099419382859702,-0.3146220562139238,0.9004363506598624
25_0nm_04run_250d.txt,UMAP,62,64,32,0,0,10312,14,1365,0.4529894204857831,0.6026029352007799,22,224,0.4103624241427832,-0.3097110419284263,0.882392984222578
25_0nm_04run_250d.txt,UMAP,62,64,48,0,0,10312,14,1538,0.4350217360553304,0.6400225723269447,22,224,0.4103624241427832,-0.3097110419284264,0.8823929842225778
25_0nm_04run_250d.txt,UMAP,62,64,64,0,0,10312,11,1487,0.4080448442326151,0.6117401572347507,22,224,0.4103863405934037,-0.3097803884665284,0.8826181349848384
25_0nm_04run_250d.txt,UMAP,62,128,64,0,0,10312,11,1487,0.4080448442326151,0.6117401572347507,16,445,0.4163606120180708,-0.2989436601876702,0.8029424968180102
25_0nm_04run_250d.txt,UMAP,62,128,96,0,0,10312,8,688,0.3795257152681084,0.662795772784346,16,455,0.4164262277230471,-0.2986517837059108,0.810860595947597
25_0nm_04run_250d.txt,UMAP,62,128,128,0,0,10312,8,948,0.3745700174874879,0.5757177664881634,16,551,0.4140435877284537,-0.2789362455326805,0.8078646088474587
25_0nm_04run_250d.txt,UMAP,125,2,1,0,0,10312,3044,1527,0.0054284077805244,0.4572506537158652,2834,1432,0.0068228207043228,0.2175009976145935,0.5160587955505984
25_0nm_04run_250d.txt,UMAP,125,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1436,1585,0.0162432076477422,0.1741816623143318,0.5257691464376447
25_0nm_04run_250d.txt,UMAP,125,2,2,0,0,10312,1487,2735,0.0081993248137534,0.3775219095648954,1436,1585,0.0162432076477422,0.1741816623143318,0.5257691464376447
25_0nm_04run_250d.txt,UMAP,125,4,2,0,0,10312,776,2483,0.0907239001920588,0.3692312636714423,1016,1380,0.0243082940796253,0.1287104666642952,0.5085367852895714
25_0nm_04run_250d.txt,UMAP,125,4,3,0,0,10312,356,1925,0.3138130952964092,0.4239719184320508,865,1661,0.0250401235982136,0.1237401795038532,0.521411553521772
25_0nm_04run_250d.txt,UMAP,125,4,4,0,0,10312,177,1455,0.4503932303657161,0.4441089013314049,694,1796,0.0298010469084503,0.1068569662072165,0.5181702117156305
25_0nm_04run_250d.txt,UMAP,125,8,4,0,0,10312,118,1433,0.4555160459437677,0.432037438993997,444,1290,0.1054042619397133,0.0401617822067658,0.5185297538626763
25_0nm_04run_250d.txt,UMAP,125,8,6,0,0,10312,96,1775,0.4311428736836232,0.4556126974309765,378,1564,0.1214635878346046,0.0620189846826608,0.5514829196846901
25_0nm_04run_250d.txt,UMAP,125,8,8,0,0,10312,35,819,0.4844990546488651,0.5536466311534034,300,1694,0.2119115497373973,0.080372455287705,0.5843815804393666
25_0nm_04run_250d.txt,UMAP,125,16,8,0,0,10312,32,996,0.4788844565310853,0.4169715193146919,143,793,0.4945745733089263,0.0571041642788228,0.6782975021071028
25_0nm_04run_250d.txt,UMAP,125,16,12,0,0,10312,22,859,0.4869446915255507,0.5446700541863153,127,850,0.5010906949297271,0.0727234926249313,0.6846695003970156
25_0nm_04run_250d.txt,UMAP,125,16,16,0,0,10312,21,934,0.4828891170174081,0.579413644065704,35,53,0.4121974954818282,-0.3429391443071947,0.8504383637519276
25_0nm_04run_250d.txt,UMAP,125,32,16,0,0,10312,23,1481,0.4635843239361733,0.5593787915384137,30,74,0.4131355640748575,-0.3528375936047359,0.8464822455815645
25_0nm_04run_250d.txt,UMAP,125,32,24,0,0,10312,18,1051,0.47160524137759,0.5778698753924414,25,43,0.4278817735312644,-0.368290875833405,0.8435731577856465
25_0nm_04run_250d.txt,UMAP,125,32,32,0,0,10312,17,1231,0.4565324044560515,0.6084140333527789,27,69,0.4177738155987119,-0.3761907690474121,0.8427090179544091
25_0nm_04run_250d.txt,UMAP,125,64,32,0,0,10312,14,1365,0.4529894204857831,0.6026029352007799,22,127,0.4300426801639727,-0.397928558563393,0.8339771937140912
