file,dimred_method,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
04_0nm_03run_1000d.txt,tSNE,2,4,2,0,0,9076,743,2479,0.0609700102435394,,834,1161,0.035633245872004,,0.3860036591556584
04_0nm_03run_1000d.txt,tSNE,2,4,3,0,0,9076,451,2591,0.187565788638874,,593,1167,0.1527046664706567,,0.4185411693033731
04_0nm_03run_1000d.txt,tSNE,2,4,4,0,0,9076,167,1586,0.497697198667775,0.4518129783913072,271,715,0.54319233873676,,0.4965847208359716
04_0nm_03run_1000d.txt,tSNE,2,8,4,0,0,9076,84,1275,0.570782192854258,0.4478100269612177,156,460,0.6153264748127932,,0.4602500079171748
04_0nm_03run_1000d.txt,tSNE,2,8,6,0,0,9076,25,582,0.6210946808126506,0.5105458356739548,90,316,0.6958269850946686,,0.4348041893481704
04_0nm_03run_1000d.txt,tSNE,2,8,8,0,0,9076,28,847,0.5920903718005001,0.6039477175653711,49,162,0.728741688773186,,0.4103302594352366
04_0nm_03run_1000d.txt,tSNE,2,16,8,0,0,9076,21,583,0.5798530343793398,0.5880943936868792,41,125,0.7308658476000351,,0.405481003505672
04_0nm_03run_1000d.txt,tSNE,2,16,12,0,0,9076,21,872,0.5952668206336431,0.6277978996020196,23,28,0.7516121721708774,,0.421269902873063
04_0nm_03run_1000d.txt,tSNE,2,16,16,0,0,9076,24,1158,0.5746784813898597,0.6450094552606296,19,2,0.7635673448442776,,0.4390321608133131
04_0nm_03run_1000d.txt,tSNE,2,32,16,0,0,9076,22,1123,0.5816838602453775,0.6462512399908066,19,2,0.7635673448442776,,0.4390321608133131
04_0nm_03run_1000d.txt,tSNE,2,32,24,0,0,9076,18,1082,0.5974977932840865,0.6366572705156984,20,8,0.7545530741649222,,0.3980724768738058
04_0nm_03run_1000d.txt,tSNE,2,32,32,0,0,9076,17,1243,0.5676201412916021,0.649313805060903,22,150,0.7718073292866939,,0.4862518583594262
