file,dimred_method,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
07_5nm_01run_10d.txt,tSNE,2,10,5,0,5,12124,54,1743,0.0666423809620239,0.0760112826749479,337,1493,0.0227474789828977,-0.0166057650768849,0.3724071184753564
07_5nm_01run_10d.txt,tSNE,2,10,8,0,5,12124,38,1921,0.0692784933338246,0.1048703474043539,237,1725,0.0418281754630639,-0.0470555840896042,0.3798892647067386
07_5nm_01run_10d.txt,tSNE,2,10,10,0,5,12124,58,3654,0.137131866128461,0.2474293866426354,28,119,0.0613429459321524,-0.6410903946516296,-0.1982323165388602
07_5nm_01run_10d.txt,tSNE,2,50,25,0,5,12124,20,2706,0.1243131384969677,0.2634050434757896,9,9,0.065493824781685,-0.6895256715466983,-0.1972395617287395
07_5nm_01run_10d.txt,tSNE,2,50,38,0,5,12124,19,3132,0.123757039692932,0.4180912145416234,8,32,0.0635211690963155,-0.6941394308201835,-0.1436746745929513
07_5nm_01run_10d.txt,tSNE,2,50,50,0,5,12124,19,3414,0.1285682808384574,0.3708307744405723,10,172,0.0627180727508621,-0.6226962727525589,-0.3346764765300042
07_5nm_01run_10d.txt,tSNE,2,100,50,0,5,12124,11,2056,0.090199590229809,0.2794335402871902,10,172,0.0627180727508621,-0.6226962727525589,-0.3346764765300042
07_5nm_01run_10d.txt,tSNE,2,100,75,0,5,12124,11,2143,0.0880333243549731,0.3797838857524686,7,143,0.0530590778385031,-0.6711423793422162,-0.2361111676251555
07_5nm_01run_10d.txt,tSNE,2,100,100,0,5,12124,13,3392,0.1162960490095289,0.3828495373274536,6,163,0.0502098982698564,-0.6618151072818981,-0.0032704031382598
07_5nm_01run_10d.txt,tSNE,2,200,100,0,5,12124,11,2802,0.1016770318394122,0.1079300284746132,6,163,0.0502098982698564,-0.6618151072818981,-0.0032704031382598
07_5nm_01run_10d.txt,tSNE,2,200,150,0,5,12124,7,1940,0.0656358940957005,0.2480803430848627,2,48,0.0046725982662076,-0.6506505340979412,-0.2739302616235419
07_5nm_01run_10d.txt,tSNE,2,200,200,0,5,12124,7,2136,0.0674471400979623,0.317850452537998,10,2218,0.0643688805365436,-0.3257309300946632,0.0233801837987487
07_5nm_01run_10d.txt,tSNE,2,500,250,0,5,12124,6,2402,0.0629806531791677,0.3067751931661992,6,2798,0.05108966499304,-0.5041884721864747,-0.096059633170079
07_5nm_01run_10d.txt,tSNE,2,500,375,0,5,12124,6,3034,0.061383093643267,0.3291890551895916,2,5347,0.0344234961626392,-0.3625422708738333,0.000215775712351
07_5nm_01run_10d.txt,tSNE,2,500,500,0,5,12124,4,2263,0.0414528039331129,0.3334587377578945,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,2,1000,500,0,5,12124,3,1866,0.0260642438007272,0.2141001327893833,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,2,1000,750,0,5,12124,3,2487,0.0302274695242635,0.2165934056152818,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,2,1000,1000,0,5,12124,3,3548,0.0414678775160501,0.2600636034508161,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,3,10,5,0,5,12124,54,1743,0.0666423809620239,0.0760112826749479,165,1022,0.04517452808406,-0.0708795846765841,0.1696273009446366
07_5nm_01run_10d.txt,tSNE,3,10,8,0,5,12124,38,1921,0.0692784933338246,0.1048703474043539,5,0,0.0643076744456223,-0.3258526824945589,-0.0667458226653321
07_5nm_01run_10d.txt,tSNE,3,10,10,0,5,12124,58,3654,0.137131866128461,0.2474293866426354,5,3,0.0642811898578498,-0.3256797196350143,-0.0666108497319693
07_5nm_01run_10d.txt,tSNE,3,50,25,0,5,12124,20,2706,0.1243131384969677,0.2634050434757896,4,0,0.0526810109791593,-0.3623797489481992,0.0912095479702709
07_5nm_01run_10d.txt,tSNE,3,50,38,0,5,12124,19,3132,0.123757039692932,0.4180912145416234,4,0,0.0526810109791593,-0.3623797489481992,0.0912095479702709
07_5nm_01run_10d.txt,tSNE,3,50,50,0,5,12124,19,3414,0.1285682808384574,0.3708307744405723,5,31,0.0635646369262544,-0.247961062252644,-0.0659485437058746
07_5nm_01run_10d.txt,tSNE,3,100,50,0,5,12124,11,2056,0.090199590229809,0.2794335402871902,5,31,0.0635646369262544,-0.247961062252644,-0.0659485437058746
07_5nm_01run_10d.txt,tSNE,3,100,75,0,5,12124,11,2143,0.0880333243549731,0.3797838857524686,5,177,0.0562045872647824,-0.6045633561616224,-0.253374709735182
07_5nm_01run_10d.txt,tSNE,3,100,100,0,5,12124,13,3392,0.1162960490095289,0.3828495373274536,5,897,0.0405837525215011,-0.1574028010976498,-0.0027265259084332
07_5nm_01run_10d.txt,tSNE,3,200,100,0,5,12124,11,2802,0.1016770318394122,0.1079300284746132,5,897,0.0405837525215011,-0.1574028010976498,-0.0027265259084332
07_5nm_01run_10d.txt,tSNE,3,200,150,0,5,12124,7,1940,0.0656358940957005,0.2480803430848627,5,1556,0.0074735581834571,-0.6834249876675852,-0.5008780910712981
07_5nm_01run_10d.txt,tSNE,3,200,200,0,5,12124,7,2136,0.0674471400979623,0.317850452537998,4,3014,0.0181066637191049,-0.4740615763198751,-0.4489319001496641
07_5nm_01run_10d.txt,tSNE,3,500,250,0,5,12124,6,2402,0.0629806531791677,0.3067751931661992,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,3,500,375,0,5,12124,6,3034,0.061383093643267,0.3291890551895916,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,3,500,500,0,5,12124,4,2263,0.0414528039331129,0.3334587377578945,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,3,1000,500,0,5,12124,3,1866,0.0260642438007272,0.2141001327893833,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,3,1000,750,0,5,12124,3,2487,0.0302274695242635,0.2165934056152818,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,tSNE,3,1000,1000,0,5,12124,3,3548,0.0414678775160501,0.2600636034508161,0,12124,0.0,0.0,0.0
07_5nm_01run_10d.txt,UMAP,2,10,5,0,5,12124,54,1743,0.0666423809620239,0.0760112826749479,442,1951,0.0090291943518255,-0.0414731932104929,0.4204655200435744
07_5nm_01run_10d.txt,UMAP,2,10,8,0,5,12124,38,1921,0.0692784933338246,0.1048703474043539,407,2492,0.0083315401549925,-0.0034675171560429,0.458633883246262
07_5nm_01run_10d.txt,UMAP,2,10,10,0,5,12124,58,3654,0.137131866128461,0.2474293866426354,347,3007,0.0132890113885555,-0.0058389339260261,0.4281819377174613
07_5nm_01run_10d.txt,UMAP,2,50,25,0,5,12124,20,2706,0.1243131384969677,0.2634050434757896,5,9,0.0290972474419988,-0.6323301417263362,-0.3187159592275496
07_5nm_01run_10d.txt,UMAP,2,50,38,0,5,12124,19,3132,0.123757039692932,0.4180912145416234,11,158,0.0506095946807232,-0.5565938893571837,-0.3503487724649858
07_5nm_01run_10d.txt,UMAP,2,50,50,0,5,12124,19,3414,0.1285682808384574,0.3708307744405723,9,157,0.0411119447631185,-0.4117535954196725,-0.4158954314850193
07_5nm_01run_10d.txt,UMAP,2,100,50,0,5,12124,11,2056,0.090199590229809,0.2794335402871902,8,155,0.042078517266487,-0.4577687586534154,-0.4697067530645576
