file,dimred_method,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
08_50nm_02run_10d.txt,tSNE,2,2,2,0,50,14700,2173,4381,0.0508491536616814,0.3446068340437319,2162,2380,0.0059467616774473,0.2989541465047167,0.4495623780516271
08_50nm_02run_10d.txt,tSNE,2,2,2,0,50,14700,2173,4381,0.0508491536616814,0.3446068340437319,2162,2380,0.0059467616774473,0.2989541465047167,0.4495623780516271
08_50nm_02run_10d.txt,tSNE,2,4,2,0,50,14700,1237,4773,0.0833277930247989,0.2916873390503347,1395,1840,0.0074639220981589,0.202396433602775,0.4078212774110749
08_50nm_02run_10d.txt,tSNE,2,4,3,0,50,14700,881,6033,0.1276756523789892,0.2684400824378309,1170,2304,0.0074066777989341,0.204622956353154,0.4404721795195829
08_50nm_02run_10d.txt,tSNE,2,4,4,0,50,14700,561,6580,0.1785325128264046,0.2649874516889073,873,2461,0.0114195850641552,0.1415923245527827,0.4339904705515242
08_50nm_02run_10d.txt,tSNE,2,8,4,0,50,14700,264,6296,0.2349419385143477,0.1896869721007567,567,1961,0.0174193844437355,0.0232022845501267,0.3767259639492293
08_50nm_02run_10d.txt,tSNE,2,8,6,0,50,14700,162,6110,0.2898281269502462,0.2592649295099463,474,2380,0.018644568827209,0.0082246335046374,0.3892564240622734
08_50nm_02run_10d.txt,tSNE,2,8,8,0,50,14700,119,5828,0.2290240008835365,0.1792681938074433,428,2948,0.0270617925738466,0.0282283596159279,0.3919141124962111
08_50nm_02run_10d.txt,tSNE,2,16,8,0,50,14700,55,5007,0.2416238714953487,0.2558209269242011,240,2013,0.0283664853267749,-0.2140733970434415,0.2782895726394266
08_50nm_02run_10d.txt,tSNE,2,16,12,0,50,14700,51,5876,0.307673183581728,0.2542259192495998,142,1767,0.0458263861671597,-0.3765790208247112,0.125583945885121
08_50nm_02run_10d.txt,tSNE,2,16,16,0,50,14700,37,4596,0.2720747696539398,-0.0336019198841957,117,1771,0.0395718374037289,-0.3567921925552328,0.0394968970688573
08_50nm_02run_10d.txt,tSNE,2,32,16,0,50,14700,22,3912,0.2323947305829392,0.0735045109594504,48,581,0.0502272340024302,-0.6251898776406322,-0.1667688667431604
08_50nm_02run_10d.txt,tSNE,2,32,24,0,50,14700,25,5152,0.2886438082324633,0.3129927836519426,23,340,0.0562939600105424,-0.7048567217100341,-0.2633361300120148
08_50nm_02run_10d.txt,tSNE,2,32,32,0,50,14700,23,5520,0.3223464755832962,0.2440315347926501,20,526,0.0637367306306739,-0.6751049391093883,-0.1681253106049419
08_50nm_02run_10d.txt,tSNE,2,64,32,0,50,14700,17,5127,0.3136786072393814,0.2420781078716806,19,512,0.0662786771468092,-0.6767380515886965,-0.2306527819836699
08_50nm_02run_10d.txt,tSNE,2,64,48,0,50,14700,14,4298,0.2281631178551357,0.1257557595842014,13,612,0.0530743804064929,-0.6761895002215493,-0.1070881715474864
08_50nm_02run_10d.txt,tSNE,2,64,64,0,50,14700,14,4712,0.2520545644188929,0.3332154807190168,8,442,0.0544931800326013,-0.7242795172382589,-0.311806410448757
08_50nm_02run_10d.txt,tSNE,2,128,64,0,50,14700,12,4283,0.232220022877146,0.2694220611158747,7,349,0.0586362940959162,-0.7304846700884688,-0.3241330012090525
08_50nm_02run_10d.txt,tSNE,2,128,96,0,50,14700,12,4433,0.228399372029037,0.3090613733236994,4,457,0.001692996936871,-0.6076572889178858,-0.3708539427292543
08_50nm_02run_10d.txt,tSNE,2,128,128,0,50,14700,12,4586,0.2170412378930075,0.2084454643186776,2,141,-0.0268734444191265,-0.7454692232402709,-0.6818060232917398
08_50nm_02run_10d.txt,tSNE,3,2,2,0,50,14700,2173,4381,0.0508491536616814,0.3446068340437319,2123,2530,0.0059220627306196,0.309779420478389,0.4353627146813374
08_50nm_02run_10d.txt,tSNE,3,2,2,0,50,14700,2173,4381,0.0508491536616814,0.3446068340437319,2123,2530,0.0059220627306196,0.309779420478389,0.4353627146813374
08_50nm_02run_10d.txt,tSNE,3,4,2,0,50,14700,1237,4773,0.0833277930247989,0.2916873390503347,1434,2196,0.0089941818165819,0.2348354050470358,0.3983720811941058
08_50nm_02run_10d.txt,tSNE,3,4,3,0,50,14700,881,6033,0.1276756523789892,0.2684400824378309,1191,2755,0.0121883524488594,0.2356446067716498,0.4096774992791261
08_50nm_02run_10d.txt,tSNE,3,4,4,0,50,14700,561,6580,0.1785325128264046,0.2649874516889073,932,3412,0.0266942169613836,0.2209006603362713,0.3981651011702817
08_50nm_02run_10d.txt,tSNE,3,8,4,0,50,14700,264,6296,0.2349419385143477,0.1896869721007567,582,2846,0.026741870105161,0.1038686841742525,0.3267414778910113
08_50nm_02run_10d.txt,tSNE,3,8,6,0,50,14700,162,6110,0.2898281269502462,0.2592649295099463,498,3783,0.0326597807434233,0.1464181300146348,0.3474631508528937
08_50nm_02run_10d.txt,tSNE,3,8,8,0,50,14700,119,5828,0.2290240008835365,0.1792681938074433,458,4684,0.0440698820145992,0.182145401982014,0.3590319862318297
08_50nm_02run_10d.txt,tSNE,3,16,8,0,50,14700,55,5007,0.2416238714953487,0.2558209269242011,2,0,-0.0049851940317549,-0.7676967105793878,-0.567276974167357
08_50nm_02run_10d.txt,tSNE,3,16,12,0,50,14700,51,5876,0.307673183581728,0.2542259192495998,2,0,-0.0049851940317549,-0.7676967105793878,-0.567276974167357
