file,dimred_method,input_dim,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
32_20nm_01run_10d.txt,UMAP,10,5,50,50,0,20,15564,15,0,0.1631430030521025,-0.7708204635031974,3,1,0.0150435841651496,-0.945453950877822,-0.4883234059400808
32_20nm_01run_10d.txt,UMAP,10,5,60,30,0,20,15564,19,0,0.184093723633072,-0.6994214491426053,2,0,-0.0025993745788707,-0.6824262736914277,0.34019680028851
32_20nm_01run_10d.txt,UMAP,10,5,60,45,0,20,15564,17,0,0.1705738229155414,-0.7382650183104496,19,993,0.0510668177677796,-0.6677193478105863,-0.0787746388049036
32_20nm_01run_10d.txt,UMAP,10,5,60,60,0,20,15564,17,0,0.1805961665911523,-0.7871047466709167,31,2664,0.0699770405144048,-0.3540449924593713,0.2712960538028299
32_20nm_01run_10d.txt,UMAP,10,5,70,35,0,20,15564,15,0,0.1637204145730602,-0.7727144906836996,39,2305,0.0657876004580292,-0.5085260366929624,0.1626224460742225
32_20nm_01run_10d.txt,UMAP,10,5,70,52,0,20,15564,13,0,0.1621622004513054,-0.7730610547745957,3,6,0.0149050966085092,-0.9451531002399284,-0.4880982025789272
32_20nm_01run_10d.txt,UMAP,10,5,70,70,0,20,15564,14,0,0.1659757253813877,-0.7594610839744612,22,2459,0.0730789616840663,-0.5335477519550447,0.1628401674338074
32_20nm_01run_10d.txt,UMAP,10,5,80,40,0,20,15564,18,0,0.1887808538275755,-0.7585540454717519,28,2242,0.0722678157496346,-0.4814525163579697,0.2222986382765924
32_20nm_01run_10d.txt,UMAP,10,5,80,60,0,20,15564,14,0,0.1660677755449777,-0.7623446710064201,27,2795,0.0719244517832297,-0.3694934601786682,0.2318266744972887
32_20nm_01run_10d.txt,UMAP,10,5,80,80,0,20,15564,14,0,0.1714093215303709,-0.7994793082932057,22,3219,0.0805697386993035,-0.4230399746487572,0.137247681830013
32_20nm_01run_10d.txt,UMAP,10,5,90,45,0,20,15564,15,0,0.1577819486144289,-0.6916401778830027,3,79,0.0217485572524592,-0.9413220851557956,-0.3709181460358514
32_20nm_01run_10d.txt,UMAP,10,5,90,68,0,20,15564,14,0,0.1648529771443903,-0.7565786350236076,3,41,0.0077799440640483,-0.9156279520000736,-0.5804298893083655
32_20nm_01run_10d.txt,UMAP,10,5,90,90,0,20,15564,14,0,0.167432778702902,-0.8192885043396784,11,1743,0.033290983385712,-0.3144938448521174,-0.0604979838712407
32_20nm_01run_10d.txt,UMAP,10,5,100,50,0,20,15564,12,0,0.1537661498360339,-0.725780091657598,2,71,0.0150446136493625,-0.9442796429638068,-0.4921286476402915
32_20nm_01run_10d.txt,UMAP,10,5,100,75,0,20,15564,12,0,0.1627499345229993,-0.752979805690269,6,714,0.020152166810107,-0.8172523671674018,-0.3460003597347809
32_20nm_01run_10d.txt,UMAP,10,5,100,100,0,20,15564,14,0,0.163641114753706,-0.8018530019372069,11,1809,0.0335352883470659,-0.2435307081645806,0.2495412688272852
32_20nm_01run_10d.txt,UMAP,10,8,10,5,0,20,15564,161,0,0.2251169856247469,-0.4307632767201423,529,2696,0.027122330412919,-0.081473496955349,0.4636513232837222
