file,dimred_method,input_dim,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
02797_0nm_02796run_3d.txt,UMAP,3,2,30,30,0,0,6362,20,0,0.2754808329433875,-0.5199975845241557,9,0,0.3221333919000986,-0.7843476541781598,0.3499853270627788
02797_0nm_02796run_3d.txt,TriMap,3,2,30,30,0,0,6362,20,0,0.2754808329433875,-0.5199975845241557,30,1477,0.290086232109377,-0.0672427941200773,0.2784040545903362
02797_0nm_02796run_3d.txt,PaCMAP,3,2,30,30,10,0,6362,20,0,0.2754808329433875,-0.5199975845241557,9,161,0.291467324236591,-0.6951908357366351,0.0951068000488464
02767_0nm_02766run_3d.txt,tSNE,3,2,30,30,0,0,4182,16,0,0.2981036458685697,-0.3470044139395935,5,0,0.3269948637077719,-0.2920715297015439,0.2200311311461299
02767_0nm_02766run_3d.txt,UMAP,3,2,30,30,0,0,4182,16,0,0.2981036458685697,-0.3470044139395935,17,210,0.5920169200043507,-0.1333090712852878,0.6147720478703836
02767_0nm_02766run_3d.txt,TriMap,3,2,30,30,0,0,4182,16,0,0.2981036458685697,-0.3470044139395935,21,800,0.4008699027035241,0.1374791642301449,0.4142449098895668
02767_0nm_02766run_3d.txt,PaCMAP,3,2,30,30,10,0,4182,16,0,0.2981036458685697,-0.3470044139395935,4,0,0.262363121559116,-0.257213348937115,0.3805574786552118
02773_0nm_02772run_3d.txt,tSNE,3,2,30,30,0,0,5692,18,0,0.3552912819983877,-0.5386091667952079,22,284,0.6523382214502759,-0.4446736255750816,0.4601491899431256
02773_0nm_02772run_3d.txt,UMAP,3,2,30,30,0,0,5692,18,0,0.3552912819983877,-0.5386091667952079,27,253,0.6081014842321983,-0.4151112181738455,0.4419104944914104
02773_0nm_02772run_3d.txt,TriMap,3,2,30,30,0,0,5692,18,0,0.3552912819983877,-0.5386091667952079,25,988,0.4062727182964925,-0.0841521270810878,0.3438310562565145
02773_0nm_02772run_3d.txt,PaCMAP,3,2,30,30,10,0,5692,18,0,0.3552912819983877,-0.5386091667952079,19,500,0.5837308045690967,-0.2939674481513095,0.4985812193342753
02502_0nm_02501run_3d.txt,tSNE,3,2,30,30,0,0,6996,25,0,0.1695188932075779,-0.5205820729547719,31,496,0.4081860833572645,-0.3848099950469781,0.2822062466173231
02502_0nm_02501run_3d.txt,UMAP,3,2,30,30,0,0,6996,25,0,0.1695188932075779,-0.5205820729547719,17,161,0.2783826491177186,-0.6632208462738577,0.010536665628062
02502_0nm_02501run_3d.txt,TriMap,3,2,30,30,0,0,6996,25,0,0.1695188932075779,-0.5205820729547719,38,2039,0.1560233417514008,-0.1196788430095221,0.3232855190086559
02502_0nm_02501run_3d.txt,PaCMAP,3,2,30,30,10,0,6996,25,0,0.1695188932075779,-0.5205820729547719,23,727,0.2512078829607218,-0.5551597856579067,0.2983396995126415
01045_0nm_01044run_3d.txt,tSNE,3,2,30,30,0,0,9888,34,0,0.1680786553695885,-0.4582454740593438,24,78,0.4467546488067969,-0.5722313425577175,0.1571700490727327
01045_0nm_01044run_3d.txt,UMAP,3,2,30,30,0,0,9888,34,0,0.1680786553695885,-0.4582454740593438,25,216,0.4875460616557598,-0.5699684860122385,0.5828299248124782
