file,dimred_method,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
16_0nm_00run_1000d.txt,tSNE,2,4,2,0,0,5042,193,682,0.6138606927523819,,429,577,0.0667222638142737,,0.3603457255757922
16_0nm_00run_1000d.txt,tSNE,2,4,3,0,0,5042,49,336,0.6976202584210354,,176,331,0.5854233111608509,,0.5051713115552875
16_0nm_00run_1000d.txt,tSNE,2,4,4,0,0,5042,11,61,0.7376937481928866,0.6523431976027192,100,261,0.7181288715171589,0.3836444167729214,0.5408806762842022
16_0nm_00run_1000d.txt,tSNE,2,8,4,0,0,5042,10,61,0.7377081519921111,0.6509379783456626,33,77,0.7051955750509714,0.5018612358596944,0.5299234005403195
16_0nm_00run_1000d.txt,tSNE,2,8,6,0,0,5042,10,104,0.719525504321289,,21,67,0.7333185608478467,0.493461002003287,0.508604639483569
16_0nm_00run_1000d.txt,tSNE,2,8,8,0,0,5042,10,119,0.7223376703448383,,19,59,0.7337810994595856,0.49314260576953,0.5111291794284767
16_0nm_00run_1000d.txt,tSNE,2,16,8,0,0,5042,10,119,0.7223376703448383,,17,46,0.7344581504714767,0.4876130575221205,0.5087908366298686
16_0nm_00run_1000d.txt,tSNE,2,16,12,0,0,5042,10,118,0.7209655837790256,,9,0,0.7263490824268555,0.62318105003479,0.5529939265679795
16_0nm_00run_1000d.txt,tSNE,2,16,16,0,0,5042,10,138,0.7210662237492887,,9,0,0.7263490824268555,0.6231810500347899,0.5529939265679795
16_0nm_00run_1000d.txt,tSNE,2,32,16,0,0,5042,10,138,0.7210662237492887,,9,0,0.7263490824268555,0.6231810500347899,0.5529939265679795
16_0nm_00run_1000d.txt,tSNE,2,32,24,0,0,5042,10,163,0.7181354593791215,,10,0,0.764600292354465,0.4670747212518988,0.5189615575957707
16_0nm_00run_1000d.txt,tSNE,2,32,32,0,0,5042,9,236,0.71645460334496,0.7944135210064696,9,0,0.7263490824268555,0.6231810500347899,0.5529939265679795
16_0nm_00run_1000d.txt,tSNE,2,64,32,0,0,5042,8,170,0.7014743159899914,,9,0,0.7263490824268555,0.6231810500347899,0.5529939265679795
16_0nm_00run_1000d.txt,tSNE,2,64,48,0,0,5042,8,195,0.6982775936114719,,9,0,0.7263490824268555,0.6231810500347899,0.5529939265679795
16_0nm_00run_1000d.txt,tSNE,2,64,64,0,0,5042,8,238,0.7043977311742603,,9,2,0.7261701493136405,0.6233483365526896,0.5527626249044446
16_0nm_00run_1000d.txt,tSNE,2,128,64,0,0,5042,8,238,0.7043977311742603,,9,2,0.7261701493136405,0.6233483365526896,0.5527626249044446
16_0nm_00run_1000d.txt,tSNE,2,128,96,0,0,5042,8,266,0.6873739315842056,,8,76,0.7522724445609174,0.7208277724346568,0.5389932909899874
16_0nm_00run_1000d.txt,tSNE,2,128,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,8,375,0.7143208875031111,0.721448794360847,0.5237797277160566
16_0nm_00run_1000d.txt,tSNE,2,256,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,8,375,0.7143208875031111,0.721448794360847,0.5237797277160566
16_0nm_00run_1000d.txt,tSNE,2,256,192,0,0,5042,8,401,0.6525345552301831,,6,1844,0.3243761970445813,,0.2838383151237847
16_0nm_00run_1000d.txt,tSNE,2,256,256,0,0,5042,7,256,0.5564271073498632,0.6945949662638322,4,1678,0.1911893381395496,-0.0034550155599521,0.260244582507303
16_0nm_00run_1000d.txt,tSNE,3,4,2,0,0,5042,193,682,0.6138606927523819,,481,798,0.0310109318331514,,0.3559735550770028
16_0nm_00run_1000d.txt,tSNE,3,4,3,0,0,5042,49,336,0.6976202584210354,,175,381,0.6939908451140376,0.5038745951449128,0.4461796959303207
16_0nm_00run_1000d.txt,tSNE,3,4,4,0,0,5042,11,61,0.7376937481928866,0.6523431976027192,8,0,0.7547344404802329,0.7308984934752968,0.3702070912046151
16_0nm_00run_1000d.txt,tSNE,3,8,4,0,0,5042,10,61,0.7377081519921111,0.6509379783456626,8,0,0.7547344404802329,0.7308984934752968,0.3702070912046151
16_0nm_00run_1000d.txt,tSNE,3,8,6,0,0,5042,10,104,0.719525504321289,,7,0,0.6297921471132295,0.6572608917583446,0.5189220579496348
16_0nm_00run_1000d.txt,tSNE,3,8,8,0,0,5042,10,119,0.7223376703448383,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,16,8,0,0,5042,10,119,0.7223376703448383,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,16,12,0,0,5042,10,118,0.7209655837790256,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,16,16,0,0,5042,10,138,0.7210662237492887,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,32,16,0,0,5042,10,138,0.7210662237492887,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,32,24,0,0,5042,10,163,0.7181354593791215,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,32,32,0,0,5042,9,236,0.71645460334496,0.7944135210064696,9,0,0.7670632554799734,0.4790650192029391,0.281789756760121
16_0nm_00run_1000d.txt,tSNE,3,64,32,0,0,5042,8,170,0.7014743159899914,,9,0,0.7670632554799734,0.4790650192029391,0.281789756760121
16_0nm_00run_1000d.txt,tSNE,3,64,48,0,0,5042,8,195,0.6982775936114719,,7,0,0.6297921471132295,0.6572608917583445,0.5189220579496349
16_0nm_00run_1000d.txt,tSNE,3,64,64,0,0,5042,8,238,0.7043977311742603,,7,29,0.6299806932105394,,0.5308011952607844
16_0nm_00run_1000d.txt,tSNE,3,128,64,0,0,5042,8,238,0.7043977311742603,,7,29,0.6299806932105394,,0.5308011952607844
16_0nm_00run_1000d.txt,tSNE,3,128,96,0,0,5042,8,266,0.6873739315842056,,8,430,0.7190193501529407,,0.4840899106629865
16_0nm_00run_1000d.txt,tSNE,3,128,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,8,983,0.5707659856034515,0.6494325833377881,0.48975581042332
16_0nm_00run_1000d.txt,tSNE,3,256,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,8,983,0.5707659856034515,0.6494325833377881,0.48975581042332
16_0nm_00run_1000d.txt,tSNE,3,256,192,0,0,5042,8,401,0.6525345552301831,,5,2365,0.2007287105017362,0.01910691102902,0.1894505356227364
16_0nm_00run_1000d.txt,tSNE,3,256,256,0,0,5042,7,256,0.5564271073498632,0.6945949662638322,2,3846,0.0432799309701566,0.0402199962566245,0.0529811962054033
16_0nm_00run_1000d.txt,UMAP,2,4,2,0,0,5042,193,682,0.6138606927523819,,491,583,0.0334870744994089,,0.473907974607415
16_0nm_00run_1000d.txt,UMAP,2,4,3,0,0,5042,49,336,0.6976202584210354,,437,728,0.0337770723467059,,0.4981120575246351
16_0nm_00run_1000d.txt,UMAP,2,4,4,0,0,5042,11,61,0.7376937481928866,0.6523431976027192,348,784,0.0443763482819768,,0.5086624765474875
16_0nm_00run_1000d.txt,UMAP,2,8,4,0,0,5042,10,61,0.7377081519921111,0.6509379783456626,226,589,0.0839399226231465,,0.4670890111265917
16_0nm_00run_1000d.txt,UMAP,2,8,6,0,0,5042,10,104,0.719525504321289,,190,704,0.2035068220610834,,0.5333900389886044
16_0nm_00run_1000d.txt,UMAP,2,8,8,0,0,5042,10,119,0.7223376703448383,,152,751,0.3787313399083543,,0.573492371086618
16_0nm_00run_1000d.txt,UMAP,2,16,8,0,0,5042,10,119,0.7223376703448383,,39,107,0.6707000718452472,,0.6777448975099878
16_0nm_00run_1000d.txt,UMAP,2,16,12,0,0,5042,10,118,0.7209655837790256,,20,21,0.7591337405377203,0.0867600150595143,0.7283546092867361
16_0nm_00run_1000d.txt,UMAP,2,16,16,0,0,5042,10,138,0.7210662237492887,,19,38,0.7593830642832413,0.0908470855492181,0.7246984415696881
16_0nm_00run_1000d.txt,UMAP,2,32,16,0,0,5042,10,138,0.7210662237492887,,12,19,0.7693660913853274,-0.0134981743970684,0.6478827011203601
16_0nm_00run_1000d.txt,UMAP,2,32,24,0,0,5042,10,163,0.7181354593791215,,12,19,0.7693660913853274,-0.0134981743970683,0.6478827011203601
16_0nm_00run_1000d.txt,UMAP,2,32,32,0,0,5042,9,236,0.71645460334496,0.7944135210064696,12,19,0.7693660913853274,-0.0134981743970683,0.6478827011203601
16_0nm_00run_1000d.txt,UMAP,2,64,32,0,0,5042,8,170,0.7014743159899914,,12,19,0.7693660913853274,-0.0134981743970683,0.6478827011203601
16_0nm_00run_1000d.txt,UMAP,2,64,48,0,0,5042,8,195,0.6982775936114719,,12,19,0.7693660913853274,-0.0134981743970684,0.6478827011203601
16_0nm_00run_1000d.txt,UMAP,2,64,64,0,0,5042,8,238,0.7043977311742603,,12,37,0.7668666707735472,-0.0124684189302104,0.6441969134577106
16_0nm_00run_1000d.txt,UMAP,2,128,64,0,0,5042,8,238,0.7043977311742603,,11,37,0.7442667485615171,-0.244586127488401,0.4794165998900382
16_0nm_00run_1000d.txt,UMAP,2,128,96,0,0,5042,8,266,0.6873739315842056,,11,71,0.7555913858417338,0.0442807554809114,0.6499950769273009
16_0nm_00run_1000d.txt,UMAP,2,128,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,10,147,0.7792879796462661,0.3607260699103939,0.7033995667257242
16_0nm_00run_1000d.txt,UMAP,2,256,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,9,324,0.7730824563481328,0.4595360189241662,0.6797945778617138
16_0nm_00run_1000d.txt,UMAP,2,256,192,0,0,5042,8,401,0.6525345552301831,,7,198,0.6182395754191006,-0.1944463788226599,0.5298199852950334
16_0nm_00run_1000d.txt,UMAP,2,256,256,0,0,5042,7,256,0.5564271073498632,0.6945949662638322,7,616,0.5633587270327837,-0.166636595466714,0.408946990842451
16_0nm_00run_1000d.txt,UMAP,3,4,2,0,0,5042,193,682,0.6138606927523819,,493,632,0.0323606075152242,,0.4766808296134451
16_0nm_00run_1000d.txt,UMAP,3,4,3,0,0,5042,49,336,0.6976202584210354,,406,721,0.0405966510374227,,0.4964206914766746
16_0nm_00run_1000d.txt,UMAP,3,4,4,0,0,5042,11,61,0.7376937481928866,0.6523431976027192,353,824,0.0437215598866937,,0.5015362419034437
16_0nm_00run_1000d.txt,UMAP,3,8,4,0,0,5042,10,61,0.7377081519921111,0.6509379783456626,242,728,0.061134183666762,,0.4676105812234959
16_0nm_00run_1000d.txt,UMAP,3,8,6,0,0,5042,10,104,0.719525504321289,,215,929,0.0717086452503222,,0.5060453853507687
16_0nm_00run_1000d.txt,UMAP,3,8,8,0,0,5042,10,119,0.7223376703448383,,147,691,0.3878704986049868,,0.5931105147487458
16_0nm_00run_1000d.txt,UMAP,3,16,8,0,0,5042,10,119,0.7223376703448383,,62,249,0.6095771863543695,0.3658645770744779,0.7067598425273174
16_0nm_00run_1000d.txt,UMAP,3,16,12,0,0,5042,10,118,0.7209655837790256,,25,71,0.6650674362375291,0.6183158218495322,0.7821386860750948
16_0nm_00run_1000d.txt,UMAP,3,16,16,0,0,5042,10,138,0.7210662237492887,,18,43,0.6877451385527994,0.606105607679833,0.8012830691839729
16_0nm_00run_1000d.txt,UMAP,3,32,16,0,0,5042,10,138,0.7210662237492887,,9,0,0.7378130586533909,0.6450023392581237,0.8285313179360971
16_0nm_00run_1000d.txt,UMAP,3,32,24,0,0,5042,10,163,0.7181354593791215,,9,0,0.7378130586533909,0.6450023392581237,0.8285313179360971
16_0nm_00run_1000d.txt,UMAP,3,32,32,0,0,5042,9,236,0.71645460334496,0.7944135210064696,9,0,0.7378130586533909,0.6450023392581236,0.8285313179360971
16_0nm_00run_1000d.txt,UMAP,3,64,32,0,0,5042,8,170,0.7014743159899914,,9,0,0.7378130586533909,0.6450023392581236,0.8285313179360971
16_0nm_00run_1000d.txt,UMAP,3,64,48,0,0,5042,8,195,0.6982775936114719,,9,0,0.7378130586533909,0.6450023392581237,0.8285313179360971
16_0nm_00run_1000d.txt,UMAP,3,64,64,0,0,5042,8,238,0.7043977311742603,,8,0,0.7547344404802329,0.7308984934752968,0.8403788669928669
16_0nm_00run_1000d.txt,UMAP,3,128,64,0,0,5042,8,238,0.7043977311742603,,8,0,0.7547344404802329,0.7308984934752968,0.8403788669928669
16_0nm_00run_1000d.txt,UMAP,3,128,96,0,0,5042,8,266,0.6873739315842056,,8,33,0.7580696949692828,0.7260667717556825,0.83660415890018
16_0nm_00run_1000d.txt,UMAP,3,128,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,8,105,0.7640577632385509,0.7148752203136176,0.8280936480251846
16_0nm_00run_1000d.txt,UMAP,3,256,128,0,0,5042,8,262,0.6831838457324669,0.7589100636949012,8,105,0.7640577632385509,0.7148752203136176,0.8280936480251846
16_0nm_00run_1000d.txt,UMAP,3,256,192,0,0,5042,8,401,0.6525345552301831,,8,207,0.7670902178855703,0.7111423183235123,0.8352455502853543
16_0nm_00run_1000d.txt,UMAP,3,256,256,0,0,5042,7,256,0.5564271073498632,0.6945949662638322,8,355,0.7448564517865233,0.6944288376893467,0.8199751534891768
16_0nm_00run_1000d.txt,TriMap,2,4,2,0,0,5042,193,682,0.6138606927523819,,430,816,0.0359375962744897,,0.3870086668146492
16_0nm_00run_1000d.txt,TriMap,2,4,3,0,0,5042,49,336,0.6976202584210354,,375,1011,0.0361473403954583,,0.3893269502847431
16_0nm_00run_1000d.txt,TriMap,2,4,4,0,0,5042,11,61,0.7376937481928866,0.6523431976027192,265,980,0.1585224059793367,,0.4555895577020006
16_0nm_00run_1000d.txt,TriMap,2,8,4,0,0,5042,10,61,0.7377081519921111,0.6509379783456626,188,802,0.1903116874133098,,0.3987550362624087
16_0nm_00run_1000d.txt,TriMap,2,8,6,0,0,5042,10,104,0.719525504321289,,120,625,0.5002654997363388,,0.5599871815147672
16_0nm_00run_1000d.txt,TriMap,2,8,8,0,0,5042,10,119,0.7223376703448383,,106,627,0.5132959566045229,,0.5323265754693869
16_0nm_00run_1000d.txt,TriMap,2,16,8,0,0,5042,10,119,0.7223376703448383,,21,74,0.6620940988871783,0.5626169498485881,0.5418230139258995
16_0nm_00run_1000d.txt,TriMap,2,16,12,0,0,5042,10,118,0.7209655837790256,,8,0,0.7552630606989581,0.73086376933436,0.631892533127659
16_0nm_00run_1000d.txt,TriMap,2,16,16,0,0,5042,10,138,0.7210662237492887,,8,2,0.7548844731378579,0.7307403495922168,0.6664347013433789
16_0nm_00run_1000d.txt,TriMap,2,32,16,0,0,5042,10,138,0.7210662237492887,,12,46,0.7114837036953628,0.6556933963379289,0.6541102439957402
16_0nm_00run_1000d.txt,TriMap,2,32,24,0,0,5042,10,163,0.7181354593791215,,8,0,0.7552630606989581,0.73086376933436,0.6499637402284663
16_0nm_00run_1000d.txt,TriMap,2,32,32,0,0,5042,9,236,0.71645460334496,0.7944135210064696,9,9,0.72534901561722,0.6437209363978966,0.6668739537277475
16_0nm_00run_1000d.txt,TriMap,2,64,32,0,0,5042,8,170,0.7014743159899914,,8,0,0.7552630606989581,0.73086376933436,0.6539179154526453
